timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616597200005,630,WebDriver home page,200,OK,Thread Group 1-1,text,true,,74107,0,1,1,http://localhost:8888/ma_gsx2C4FSyeiGyLtBfPIs,0,0,0
1616597200713,80,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13884,0,1,1,http://localhost:8888/ma_sC4uzJmFFriX6we8FD8A,0,0,0
1616597200831,88,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14065,0,1,1,http://localhost:8888/ma_7YtNKq0YnbetvRdDBO6x,0,0,0
1616597200950,70,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14080,0,1,1,http://localhost:8888/ma_gsx2C4FSyeiGyLtBfPIs,0,0,0
1616597201059,79,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36956,0,1,1,http://localhost:8888/ma_02peouFGFAUjwPhDod9f,0,0,0
1616597201306,70,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13871,0,1,1,http://localhost:8888/ma_WANKt9MBQMZ9cxYsMlb5,0,0,0
1616597201407,85,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36985,0,1,1,http://localhost:8888/ma_R7Ygwd3Id1mzahnynBrp,0,0,0
1616597201532,86,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36972,0,1,1,http://localhost:8888/ma_CmIM7IsVSWGUPf9IQ6Mr,0,0,0
1616597201655,98,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74118,0,1,1,http://localhost:8888/ma_zPbiK03huiYxK86ens6N,0,0,0
1616597201800,67,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74106,0,1,1,http://localhost:8888/ma_zTDdMCXlV7gq1jofm4wn,0,0,0
1616597201902,80,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36966,0,1,1,http://localhost:8888/ma_6Bm5KPVp4Mz83fUwxBiQ,0,0,0
1616597202019,576,WebDriver home page,200,OK,Thread Group 1-1,text,true,,14070,0,1,1,http://localhost:8888/ma_2zEL1FjSHq4ttaIjvMTs,0,0,0
1616597202632,68,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13901,0,1,1,http://localhost:8888/ma_A9x45jrlDoD8ZxJYcG5X,0,0,0
1616597202740,64,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14078,0,1,1,http://localhost:8888/ma_6WRV0bv05SPzTA0AQ62V,0,0,0
1616597202833,64,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13858,0,1,1,http://localhost:8888/ma_P5382GLuBibL3L2nHVfp,0,0,0
1616597202924,78,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36956,0,1,1,http://localhost:8888/ma_2zEL1FjSHq4ttaIjvMTs,0,0,0
1616597203063,113,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74119,0,1,1,http://localhost:8888/ma_P5382GLuBibL3L2nHVfp,0,0,0
1616597203221,90,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36984,0,1,1,http://localhost:8888/ma_A9x45jrlDoD8ZxJYcG5X,0,0,0
1616597203393,69,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13871,0,1,1,http://localhost:8888/ma_kimoNHKo0PT3EYHgSNSk,0,0,0
1616597203491,82,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74118,0,1,1,http://localhost:8888/ma_79vZvzLQEBU4AhWXhm7N,0,0,0
1616597203631,90,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,36984,0,1,1,http://localhost:8888/ma_LPuN0SiSc6Q9LMr6vhiZ,0,0,0
1616597203769,68,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13864,0,1,1,http://localhost:8888/ma_jJiSvGR8uXqH4UbupS3v,0,0,0
1616597203867,561,WebDriver home page,200,OK,Thread Group 1-1,text,true,,37034,0,1,1,http://localhost:8888/ma_Lmzhc1SFs5eEaufgsrBd,0,0,0
1616597204454,61,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37038,0,1,1,http://localhost:8888/ma_oIteL6x1GuYjEZhs6rGq,0,0,0
1616597204546,74,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14158,0,1,1,http://localhost:8888/ma_cpnhuJlp90FjPlseHUER,0,0,0
1616597204652,82,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13974,0,1,1,http://localhost:8888/ma_Lmzhc1SFs5eEaufgsrBd,0,0,0
1616597204764,68,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14167,0,1,1,http://localhost:8888/ma_eIWNdEHPnzQQRFQHqeLi,0,0,0
1616597204861,89,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37039,0,1,1,http://localhost:8888/ma_vwpRzwPbv5J5cmdfuwgc,0,0,0
1616597204995,66,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14142,0,1,1,http://localhost:8888/ma_hMnnEMs7cqdBHLSmhL5f,0,0,0
1616597205086,75,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14153,0,1,1,http://localhost:8888/ma_By08TX0viCi0QSjZtOIu,0,0,0
1616597205199,81,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37031,0,1,1,http://localhost:8888/ma_8xML4q0Wzzy2RBE1CMng,0,0,0
1616597205312,68,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,37047,0,1,1,http://localhost:8888/ma_ekGLaI2JqPeV9zKhIdhY,0,0,0
1616597205411,54,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,13929,0,1,1,http://localhost:8888/ma_vwpRzwPbv5J5cmdfuwgc,0,0,0
1616597205494,566,WebDriver home page,200,OK,Thread Group 1-1,text,true,,14000,0,1,1,http://localhost:8888/ma_lje5UmN1MEXwQXm7irTv,0,0,0
1616597206091,116,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,74263,0,1,1,http://localhost:8888/ma_gaRNzOoYCP24hOaTxDl6,0,0,0
1616597206247,69,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14018,0,1,1,http://localhost:8888/ma_djePg2ioNXri4VTPuCQO,0,0,0
1616597206343,67,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14212,0,1,1,http://localhost:8888/ma_dmzcSbRVaYRRI5KBHV2N,0,0,0
1616597206436,72,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14231,0,1,1,http://localhost:8888/ma_rexTD4S7rLJWcNGAbVNa,0,0,0
1616597206545,83,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14224,0,1,1,http://localhost:8888/ma_PINdFKLb9ucAzkEPqcMZ,0,0,0
1616597206661,65,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14227,0,1,1,http://localhost:8888/ma_16uewhvslmsdUgXC6xCe,0,0,0
1616597206753,62,WebDriver click mail,200,OK,Thread Group 1-1,text,true,,14229,0,1,1,http://localhost:8888/ma_njLbjtmSNKvJ5qUNb9UX,0,0,0
